Name,Link
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR100
"
                121 Langdon St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR100
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1013
"
                416 E. Wilson St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1013
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1043
"
                102--118 King and 115--123 E. Main Sts.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1043
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1054
"
                117--119 E. Mifflin St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1054
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1061
"
                Vilas Circle
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1061
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1068
"
                Sherman Ave. roughly between Marston Ave. and N. Brearly St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1068
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1069
"
                1010 Sherman Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1069
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1127
"
                121-129 S. Hamilton St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1127
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1141
"
                816 Troy Dr.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1141
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1146
"
                Roughly bounded by Spaight St., S. Few St., Lake Monona, and S. Ingersoll St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1146
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1147
"
                University of Wisconsin Arboretum
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1147
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1158
"
                Roughly bounded by S. Webster, King, E. Wilson, E. Doty, S. Pinkney, and E. Main Sts.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1158
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1174
"
                Elmside Park
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1174
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1175
"
                Vilas Park
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1175
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1182
"
                Address Restricted
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1182
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1187
"
                Edgewood College
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1187
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1188
"
                Address Restricted
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1188
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1189
"
                Address Restricted
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1189
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1199
"
                420 Henry Mall, University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1199
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1202
"
                420, 425, 440, 445, 460 and 465 Henry Mall and 1450 Linden Dr., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1202
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1267
"
                2015 Adams St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1267
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1276
"
                1204 Northport Dr.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1276
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1367
"
                649--53 E. Dayton St. and 114 N. Blount St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1367
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1393
"
                123 N Blount St
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1393
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1402
"
                640 W. Washington Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1402
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1433
"
                101 E Mifflin St
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1433
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1448
"
                301 Wisconsin Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1448
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1519
"
                744 Williamson St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1519
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1528
"
                Roughly bounded by E. Dayton, E. Johnson, E. Gorham, N. Butler, Langdon, and W. Gilman Sts., and Lake Mendota
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1528
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1545
"
                1 Gifford Pinchot Dr.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1545
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1559
"
                1010 Chandler St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1559
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1593
"
                1006 Grant St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1593
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1595
"
                1 N. Pinckney St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1595
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1620
"
                Roughly along State St., from N. Lake St. to W. Mifflin St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1620
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1624
"
                Roughly bounded by Lake Mendota, N. Brearly, E. Johnson, and N. Franklin Sts.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1624
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1699
"
                Roughly bounded by S. Fairchild St., W. Main St., S. Carroll St., and W. Doty St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1699
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1728
"
                716 Langdon St., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1728
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1729
"
                550 N. Park St., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1729
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1769
"
                Capitol Square
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1769
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1796
"
                315 N. Carroll St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1796
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1810
"
                1450 Monroe St., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1810
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1817
"
                816 State St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1817
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1835
"
                1645 Norman Way
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1835
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1844
"
                Bascom Hill, University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1844
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1853
"
                1915 Linden Drive
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1853
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1860
"
                205 N. Prospect Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1860
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1862
"
                848 Jenifer Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1862
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1865
"
                119-123 West Washington Avenue
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1865
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1881
"
                602 Railroad Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1881
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1883
"
                215 Martin Luther King Junior Boulevard
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1883
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1889
"
                731 State Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1889
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1890
"
                445-447 West Wilson Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1890
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1909
"
                106 East Doty Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1909
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1912
"
                Roughly bounded by Virginia Ter., Regent St., S. Spooner Ave., and Illinois Central Railroad
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1912
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1914
"
                Roughly bounded by Odana Rd., Mantou Wy., Mohawk Dr., and Whedona Dr.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1914
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1939
"
                Roughly bounded by Monroe St., Garfield St., Chandler St., S. Randall Ave., Drake St., Vilas Ave., and Edgewood Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1939
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1946
"
                651 West Doty Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1946
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1948
"
                Bounded by S. Thorton Ave., Rutledge, S. Dickinson, and Spaight streets
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1948
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1955
"
                100 South Blount Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1955
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1956
"
                1450 Linden Dr., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1956
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1957
"
                460 Henry Mall, University of Wisconsin Campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1957
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1963
"
                Roughly bounded by Regent, Allen, Lathrop Sts., and Kendall Ave. (both sides)
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1963
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1984
"
                10 Babcock Dr., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1984
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1991
"
                1220 E. Johnson St.; 501 S. Thornton Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1991
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR1997
"
                Address Restricted
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR1997
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2032
"
                Jenifer and Spaight streets roughly bounded by South Brearly Street and Williamson Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2032
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2037
"
                3706 Nakoma Rd.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2037
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2042
"
                106 N Prospect Ave
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2042
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2043
"
                3402 Monroe St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2043
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2048
"
                857 S. Shore Dr.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2048
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2138
"
                441 Toepfer Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2138
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2144
"
                North Shore Drive
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2144
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2154
"
                149 Waubesa Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2154
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2204
"
                E. Gorham St. at N. Butler St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2204
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2283
"
                301 South Blount Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2283
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2316
"
                216 State Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2316
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2419
"
                800 Langdon Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2419
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2444
"
                702 South High Point Road
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2444
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2471
"
                Roughly bounded by North and South Midvale Boulevard, Sheboygan Avenue, North and South Whitney Way, North Rock Road and
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2471
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2475
"
                Roughly bounded by Owen Parkway, Regent and Larkin Streets, and Hillcrest Drive
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2475
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2480
"
                917 East Mifflin Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2480
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2524
"
                206-214 Waubesa St
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2524
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2535
"
                118 Vaughn Court
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2535
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2537
"
                3244 Atwood Ave
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2537
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2574
"
                110 E Main ST
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2574
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2586
"
                3902 Regent St, 90 and 91 Owen Pkwy
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2586
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2590
"
                1021 University Ave
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2590
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR2626
"
                211 N CARROLL ST
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR2626
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR286
"
                640 W. Washington Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR286
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR436
"
                315 Wisconsin Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR436
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR437
"
                854 Jenifer St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR437
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR567
"
                1535 Observatory Dr., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR567
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR568
"
                1545 Observatory Dr., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR568
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR569
"
                1525 Observatory Dr., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR569
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR570
"
                1401 and 1225 Observatory Dr., Univ. of WI
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR570
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR59
"
                Bounded by Observatory Dr., University Ave., and N. Park, Langdon, and State Sts.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR59
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR60
"
                423 N. Pinckney St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR60
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR600
"
                1050 University Ave., University of Wisconsin Campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR600
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR601
"
                1675 Linden Dr., University of Wisconsin Campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR601
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR61
"
                622 E. Gorham St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR61
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR62
"
                851-853 Williamson St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR62
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR63
"
                302 S. Mills St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR63
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR64
"
                422 N. Henry St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR64
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR65
"
                Camp Randall Memorial Park, University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR65
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR657
"
                1509 University Ave., University of Wisconsin campus
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR657
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR66
"
                101 N. Blount St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR66
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR665
"
                1 E. Gilman St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR665
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR67
"
                1150 Spaight St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR67
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR68
"
                704 E. Gorham St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR68
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR69
"
                1030 Jenifer St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR69
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR694
"
                123 E. Doty Street
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR694
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR696
"
                321 S. Hamilton St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR696
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR70
"
                4718 Monona Dr.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR70
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR71
"
                6701 E. Broadway
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR71
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR715
"
                Burrows Park
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR715
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR716
"
                1102 Spaight St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR716
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR717
"
                Address Restricted
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR717
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR718
"
                Forest Hill Cemetery
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR718
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR721
"
                1-2 Thorstrand Rd.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR721
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR73
"
                137 N. Prospect Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR73
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR743
"
                647 E. Dayton St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR743
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR75
"
                120 Ely Pl.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR75
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR752
"
                1329 W. Dayton St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR752
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR755
"
                114 State St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR755
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR76
"
                6 N. Carroll St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR76
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR78
"
                3995 Shawn Trail
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR78
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR79
"
                802 E. Gorham St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR79
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR82
"
                22 N. Butler St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR82
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR83
"
                752 E. Gorham St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR83
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR841
"
                454 W. Gilman St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR841
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR85
"
                728 E. Gorham St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR85
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR87
"
                620 S. Ingersoll St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR87
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR88
"
                601-627 Williamson St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR88
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR89
"
                N. Hancock St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR89
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR901
"
                Roughly bounded by Lake Mendota, Wisconsin Ave., Langdon, and N. Lake Sts.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR901
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR903
"
                14--24 E. Mifflin St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR903
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR91
"
                Mendota State Hospital
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR91
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR92
"
                130 E. Gilman St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR92
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR93
"
                1100 Spaight St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR93
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR937
"
                619 W. Mifflin St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR937
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR94
"
                754 Jenifer St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR94
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR949
"
                111 S. Hamilton St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR949
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR95
"
                424 N. Pinckney St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR95
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR96
"
                404 E. Main St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR96
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR962
"
                29 E. Wilson St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR962
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR974
"
                119 E. Main St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR974
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR979
"
                402--524 E. Wilson and 133 S. Blair Sts.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR979
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR98
"
                1 W. Wilson St.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR98
"
",https://www.wisconsinhistory.org/Records/NationalRegister/NR996
"
                2709 Sommers Ave.
            ",https://www.wisconsinhistory.org/Records/NationalRegister/NR996
